GEO.id2,GEO.display-label,respop72010,respop72011,respop72012,respop72013,respop72014,respop72015,respop72016,popchg4201072016,natinc4201072016,births4201072016,deaths4201072016,netmig4201072016,intlmig4201072016,dommig4201072016
48125,"Dickens County, Texas",2441,2395,2315,2283,2205,2197,2184,-257,-35,121,156,-219,13,-232
48127,"Dimmit County, Texas",10037,10096,10487,10906,11026,10995,10794,798,548,1113,565,256,152,104
48129,"Donley County, Texas",3731,3684,3651,3566,3503,3407,3405,-323,-114,200,314,-195,13,-208
48131,"Duval County, Texas",11721,11797,11586,11606,11530,11399,11428,-354,276,1099,823,-660,27,-687
48133,"Eastland County, Texas",18589,18574,18408,18231,18212,18133,18274,-309,-311,1261,1572,17,114,-97
48135,"Ector County, Texas",137083,139689,144513,149651,154570,159689,157462,20326,10344,17706,7362,9866,850,9016
48137,"Edwards County, Texas",1998,1972,1974,1881,1892,1911,1911,-91,39,155,116,-145,14,-159
48139,"Ellis County, Texas",150365,152364,153730,156093,159328,163474,168499,18902,5774,12731,6957,12904,590,12314
48141,"El Paso County, Texas",803641,819471,830853,831218,834190,833783,837918,37271,53915,85139,31224,-16861,15729,-32590
48143,"Erath County, Texas",37896,39003,39488,40012,40668,41379,41659,3759,1100,3055,1955,2528,197,2331
48145,"Falls County, Texas",17878,17831,17554,17201,17141,17158,17273,-590,165,1289,1124,-711,57,-768
48147,"Fannin County, Texas",33908,33922,33695,33655,33762,33640,34031,121,-456,2085,2541,555,95,460
48149,"Fayette County, Texas",24529,24756,24706,24783,24863,25046,25149,595,-352,1532,1884,894,44,850
48151,"Fisher County, Texas",3954,3958,3840,3846,3843,3853,3854,-120,-65,251,316,-41,5,-46
48153,"Floyd County, Texas",6405,6398,6372,6275,5977,5901,5917,-529,82,496,414,-619,85,-704
48155,"Foard County, Texas",1338,1360,1310,1277,1268,1215,1183,-153,-55,68,123,-97,5,-102
48157,"Fort Bend County, Texas",590433,606962,625796,653252,684646,713849,741237,156534,37334,54353,17019,116489,23750,92739
48159,"Franklin County, Texas",10597,10532,10609,10563,10522,10553,10607,4,-46,662,708,78,17,61
48161,"Freestone County, Texas",19810,19590,19431,19553,19622,19693,19624,-193,20,1367,1347,-213,18,-231
48163,"Frio County, Texas",17245,17479,17876,18257,18693,18930,18956,1739,780,1586,806,981,467,514
48165,"Gaines County, Texas",17570,18014,18377,18895,19400,20276,20478,2952,1711,2443,732,1183,450,733
48167,"Galveston County, Texas",292529,295596,301067,306693,313698,321538,329431,38128,9781,25163,15382,27504,3784,23720
48169,"Garza County, Texas",6468,6578,6450,6401,6418,6383,6442,-19,83,404,321,-112,137,-249
48171,"Gillespie County, Texas",24877,25032,25167,25354,25545,26074,26521,1684,-525,1563,2088,2097,223,1874
48173,"Glasscock County, Texas",1231,1231,1259,1243,1297,1333,1314,88,48,88,40,51,34,17
48175,"Goliad County, Texas",7223,7204,7329,7446,7496,7526,7517,307,-39,429,468,346,0,346
48177,"Gonzales County, Texas",19792,19749,19910,20138,20372,20554,20876,1069,633,1849,1216,442,16,426
48179,"Gray County, Texas",22458,22581,22834,22926,23420,23236,22725,190,480,2094,1614,-277,106,-383
48181,"Grayson County, Texas",121037,121274,121636,122249,123500,125537,128235,7371,997,9535,8538,6176,1002,5174
48183,"Gregg County, Texas",122010,122445,122835,123043,122967,123827,123745,1981,4123,11956,7833,-2268,1138,-3406
48185,"Grimes County, Texas",26615,26687,26703,26835,27075,27418,27671,1103,271,1990,1719,763,56,707
48187,"Guadalupe County, Texas",132564,135869,139741,143164,147230,151164,155265,23728,5023,10931,5908,18150,933,17217
48189,"Hale County, Texas",36300,36387,36284,35751,34537,34201,34263,-1966,1318,3234,1916,-3383,229,-3612
48191,"Hall County, Texas",3352,3316,3280,3183,3094,3114,3138,-215,-98,195,293,-110,1,-111
48193,"Hamilton County, Texas",8490,8411,8289,8267,8173,8127,8304,-213,-299,553,852,65,2,63
48195,"Hansford County, Texas",5602,5581,5529,5548,5538,5607,5538,-75,201,511,310,-284,72,-356
48197,"Hardeman County, Texas",4155,4127,4062,4014,3929,3851,3906,-233,0,268,268,-221,6,-227
48199,"Hardin County, Texas",54808,55046,55114,55342,55539,55804,56322,1687,921,4311,3390,797,13,784
48201,"Harris County, Texas",4108308,4179717,4259206,4346883,4441928,4533341,4589928,496686,282220,432780,150560,219106,153824,65282
48203,"Harrison County, Texas",65708,66364,66283,66218,66514,66606,66534,905,1430,5311,3881,-396,445,-841
48205,"Hartley County, Texas",6054,6083,6152,6059,6111,5761,5747,-315,146,370,224,-501,72,-573
48207,"Haskell County, Texas",5880,5978,5907,5918,5782,5774,5681,-218,-199,305,504,-23,187,-210
48209,"Hays County, Texas",158241,163209,168408,176029,184951,194574,204470,47381,8433,13968,5535,38023,894,37129
48211,"Hemphill County, Texas",3796,3951,4070,4125,4161,4270,4129,322,224,424,200,91,47,44
48213,"Henderson County, Texas",78654,78692,78951,78600,79196,79416,79901,1367,-726,5610,6336,2129,82,2047
48215,"Hidalgo County, Texas",779150,794682,806388,817039,829088,839314,849843,75073,76360,101020,24660,-2201,9548,-11749
48217,"Hill County, Texas",35127,35162,35083,34784,34713,34846,35077,-8,54,2567,2513,-73,130,-203
48219,"Hockley County, Texas",22849,22979,23108,23477,23565,23461,23275,348,761,2054,1293,-393,165,-558
48221,"Hood County, Texas",51276,51484,52127,52893,53863,55344,56857,5689,-317,3675,3992,5880,414,5466
48223,"Hopkins County, Texas",35201,35314,35391,35414,35840,36177,36400,1239,522,2905,2383,635,5,630
48225,"Houston County, Texas",23692,23370,23143,22738,22701,22675,22754,-978,-432,1424,1856,-533,95,-628
48227,"Howard County, Texas",35010,34991,35490,36196,36517,37202,36708,1696,489,2889,2400,1188,430,758
48229,"Hudspeth County, Texas",3467,3417,3351,3331,3243,3425,4053,577,191,280,89,392,76,316
48231,"Hunt County, Texas",86370,86790,87117,87556,88748,89847,92073,5912,1354,6845,5491,4472,798,3674
48233,"Hutchinson County, Texas",22203,21985,21960,21844,21840,21755,21511,-738,375,1869,1494,-1077,109,-1186
48235,"Irion County, Texas",1610,1603,1573,1601,1567,1546,1557,-42,10,89,79,-48,0,-48
48237,"Jack County, Texas",9013,9048,8999,8905,8857,8823,8744,-300,75,614,539,-351,22,-373
48239,"Jackson County, Texas",14078,14040,14279,14637,14758,14846,14869,794,341,1224,883,473,36,437
48241,"Jasper County, Texas",35799,36242,35859,35673,35560,35460,35648,-62,167,2756,2589,-194,262,-456
48243,"Jeff Davis County, Texas",2345,2297,2303,2223,2199,2179,2200,-142,-27,85,112,-105,4,-109
48245,"Jefferson County, Texas",252454,253318,251250,252648,252219,254167,254679,2402,6944,22192,15248,-4252,3234,-7486
48247,"Jim Hogg County, Texas",5286,5276,5261,5226,5261,5196,5146,-154,231,562,331,-377,8,-385
48249,"Jim Wells County, Texas",40889,41216,41672,41697,41458,41456,41149,311,1601,4137,2536,-1264,93,-1357
48251,"Johnson County, Texas",151263,151955,153313,154557,156903,159674,163274,12330,4603,12489,7886,7542,354,7188
48253,"Jones County, Texas",20223,20232,19873,20016,19852,19972,20009,-189,-112,1068,1180,-48,82,-130
