district_name,district_id,District,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2007 Total Recapture,2008 Total Recapture,2009 Total Recapture,2010 Total Recapture,2011 Total Recapture,2012 Total Recapture,2013 Total Recapture,2014 Total Recapture,2015 Total Recapture,2016 Total Recapture
HEARNE ISD,198905,198905,400064,1932060,1027247,579006,0,75251,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MUMFORD ISD,198906,198906,370017,833388,480057,434643,124100,251022,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ROCKWALL ISD,199901,199901,9912084,24125562,24804957,15245096,15900803,15110193,7681218,3708969,0,0,0,0,0,0,0,0,0,0,0,0
HENDERSON ISD,201902,201902,1600201,5805146,3989027,1306457,4233325,4906984,2322254,1187594,83481,0,0,0,67685,0,0,0,0,0,0,0
LANEVILLE ISD,201903,201903,145780,38680,0,256094,0,236,0,0,0,0,0,0,0,6403,0,0,4448,0,0,0
TATUM ISD,201910,201910,955988,3621025,3797414,2790002,2390873,3729426,2130632,2442380,1791455,3692284,12057520,8059884,8574508,8681108,8952041,6219418,4394359,2770568,1584097,848903
WEST RUSK COUNTY CONSOLIDATED,201914,201914,427627,1866264,1249274,1641721,1298540,1684582,166996,344340,152009,863992,0,0,0,0,0,0,0,0,0,0
HEMPHILL ISD,202903,202903,751156,1319973,1178594,193769,631012,285287,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAN AUGUSTINE ISD,203901,203901,243493,802554,337711,0,0,0,0,654327,0,0,0,0,0,0,0,0,0,191920,0,0
COLDSPRING-OAKHURST CISD,204901,204901,914681,2259496,1248457,9329,181411,488772,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INGLESIDE ISD,205903,205903,1439503,2113807,2676275,1370944,1351215,554254,0,0,0,0,1417947,268505,1360263,0,0,0,0,0,390104,255110
SCHLEICHER ISD,207901,207901,357259,795245,741464,2182334,294147,1052200,0,377444,371499,772092,0,0,45130,100808,21224,91460,18906,121391,107631,81182
HERMLEIGH ISD,208901,208901,343796,381023,0,0,554356,2130705,0,275271,0,508824,0,0,0,0,2040680,1201461,0,0,0,0
SNYDER ISD,208902,208902,5180249,7750929,7838064,10840739,7560686,7772363,1857395,4752730,4445223,10184583,9210587,8929364,13414636,9366150,6598318,7662753,9491109,13114983,13727040,10429289
IRA ISD,208903,208903,300759,460908,425583,911721,264825,517452,0,359149,0,871542,0,0,677041,369102,1967,221030,137075,389809,96352,49962
ALBANY ISD,209901,209901,481781,1015484,788816,605925,536018,661108,5723,355221,43471,318961,0,0,0,0,0,46784,28012,65155,45497,36454
MORAN ISD,209902,209902,97887,323528,293880,210717,83527,159341,0,0,0,116096,0,0,0,0,0,0,0,0,0,0
EXCELSIOR ISD,210906,210906,31590,133918,0,0,327239,0,0,52912,0,9278,0,0,0,7049,7941,0,0,0,0,1560
TEXHOMA ISD,211901,211901,154049,311044,375421,356920,338386,205983,254368,300984,177251,254868,486215,586327,818991,665229,563378,798836,365738,210874,81044,53817
STRATFORD ISD,211902,211902,709364,1777864,1229887,591468,984029,1128100,84647,711204,145014,271599,336974,204790,18479,38761,46258,71387,40052,44036,42810,44961
ARP ISD,212901,212901,571908,3015687,2707203,2379168,2550258,1995763,1603327,1232081,988998,860733,0,0,0,0,0,0,0,0,0,0
TROUP ISD,212904,212904,799794,3040978,3089497,2888062,2964033,2905789,2309329,1731165,1521831,1152799,0,0,0,0,0,0,0,0,0,0
TYLER ISD,212905,212905,9793476,19062942,17753507,7921458,8163939,6701935,0,0,0,0,0,0,0,0,0,0,0,0,127130,0
GLEN ROSE ISD,213901,213901,1657276,1092059,2913931,2722196,3589958,3146298,2616270,3629300,3036299,6536552,6858890,7335802,12648115,12804620,13683045,13895356,13656044,11640442,8713899,4137840
SAN ISIDRO ISD,214902,214902,541819,1274814,878517,614216,338001,1146536,626662,349059,395598,202681,2320830,1260058,1021360,464098,482154,610981,191151,0,61096,47123
BRECKENRIDGE ISD,215901,215901,611124,2565222,1121243,1789605,0,1823846,199348,352859,0,1387681,0,0,0,0,0,0,0,0,0,0
STERLING CITY ISD,216901,216901,253610,804051,0,490909,1671040,2039690,289456,720171,81048,1234811,4803812,4075668,9784095,11775522,6594250,3734579,2191087,1774936,1677740,1925807
ASPERMONT ISD,217901,217901,288550,830170,588720,562310,44157,144738,0,469709,4352,776079,0,1060,2539,8653,8954,121512,650452,1101316,849520,733371
SONORA ISD,218901,218901,1022537,4835104,3462482,4815565,4565939,4891513,2821960,3848094,2679739,2588780,9611345,8318363,10218986,7686370,5001082,2918335,946592,202520,0,0
GRAPEVINE-COLLEYVILLE ISD,220906,220906,9940572,17223137,16948459,8159058,12057368,9002433,1855973,792194,0,0,42574139,30695493,35001771,25343470,26206619,28938260,27857927,24254808,24389169,25131465
AZLE ISD,220915,220915,1964186,5730414,4858446,274782,2458143,3245441,555682,0,0,0,0,0,0,0,0,0,0,0,0,0
HURST-EULESS-BEDFORD ISD,220916,220916,15846818,33278549,29033810,13206891,15402504,11883017,689138,0,0,0,0,13588,0,0,0,0,0,0,0,0
EAGLE MT-SAGINAW ISD,220918,220918,8736268,23103386,27218239,17260932,24087743,19929069,14044051,8787007,6445194,6733947,0,0,0,0,0,0,0,0,0,0
CARROLL ISD,220919,220919,5560447,12703478,11900232,5495667,7365130,7045837,1879065,982438,0,0,15700095,11606308,15454901,10375874,12781202,14437224,14572698,12611263,14221643,15726453
TRENT ISD,221905,221905,216412,295647,279360,0,158937,409923,0,0,0,0,227767,0,0,7217,349603,173322,0,43393,8320,43632
WYLIE ISD,221912,221912,2369919,3542102,3818169,2749838,2889626,2458104,1118637,645203,0,0,0,0,0,0,0,93698,0,0,32448,0
TERRELL COUNTY ISD,222901,222901,212580,702973,853186,871419,921707,846197,694887,675111,573103,687463,8186680,7792135,7274308,6088215,4937816,4011030,3160912,2542400,2279070,1832691
BROWNFIELD ISD,223901,223901,748648,2861155,2412868,1338315,0,515913,0,390894,0,2094258,0,0,0,0,0,0,99158,214639,148490,76147
WELLMAN-UNION CISD,223904,223904,158570,356103,272452,153158,81126,0,0,0,0,323693,0,0,0,9638,17228,43526,20094,485632,447715,644866
THROCKMORTON ISD,224901,224901,101675,589296,289434,365620,73252,234991,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOUNT PLEASANT ISD,225902,225902,1784121,5302136,3566689,994735,1645002,1960555,250505,0,0,0,0,0,0,0,0,0,0,0,0,0
CHRISTOVAL ISD,226901,226901,206539,491525,385199,0,0,809094,0,102063,0,0,0,0,0,0,0,44789,0,11459,0,0
VERIBEST ISD,226908,226908,141210,407448,311760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AUSTIN ISD,227901,227901,58579299,146206325,150532699,90467814,113812909,100133329,32311559,8161581,0,0,131786843,116033475,174442542,109945487,123836040,125191679,119777904,128437872,181251916,265657254
MANOR ISD,227907,227907,2499137,5786118,10516324,7502568,11950147,9597646,3144482,601026,0,5243733,0,0,0,0,0,0,0,0,0,0
EANES ISD,227909,227909,5398368,13185267,12128319,8115147,10042711,8632308,2376118,1895649,0,0,58867227,50552387,57976392,54516301,52007623,52714122,53375875,55283742,62500014,70882775
LAGO VISTA ISD,227912,227912,959001,2971557,2913129,2233226,2901833,2899071,1972683,2163072,1436278,1498562,4343816,4589731,5891752,5882696,6210106,5653718,5019475,3998657,3736939,3495691
LAKE TRAVIS ISD,227913,227913,3820599,10651421,9421167,9791839,11559854,10672148,6179935,5600097,3828941,1805058,27938087,25184986,30517520,30422298,28694099,28430125,26791223,25764135,27915005,32945843
WOODVILLE ISD,229903,229903,620315,1816059,1830795,3997723,1966578,3190795,1203515,2203334,160435,2859426,0,0,0,432741,0,111326,0,0,0,0
MCCAMEY ISD,231901,231901,524306,1731908,1987611,2165022,1264002,2166266,370474,1560522,854948,1746063,12485873,10995908,12341825,10458821,10900608,9893382,10175037,8916259,8261653,6326514
RANKIN ISD,231902,231902,240362,871921,896241,976388,728944,750725,0,474631,131823,832927,10706519,11911428,15416526,17206888,21546425,22843244,33454680,31689226,35032326,27007364
SABINAL ISD,232902,232902,1002691,1270789,1029449,894527,1030175,1055862,657141,447308,413751,820521,0,0,0,0,0,0,0,0,0,4003
UTOPIA ISD,232904,232904,240507,571115,602234,352449,394045,343121,182449,169149,37661,39518,0,1226,4765,13185,20130,77215,24264,24729,28195,52511
COMSTOCK ISD,233903,233903,199399,827441,404966,723915,562374,680750,369681,205043,57286,76326,555918,398281,303491,356382,133331,137789,0,0,0,220289
VICTORIA ISD,235902,235902,4393879,11829164,10447710,369497,833704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NURSERY ISD,235904,235904,99807,225382,178679,83130,170439,115669,6632,68700,135104,137927,1124335,835681,814272,773746,789190,799881,965337,1072646,1033652,1244278
MONAHANS-WICKETT-PYOTE ISD,238902,238902,1331722,4541065,3763540,3671854,2160848,4137171,0,975403,0,3039707,2970894,3414354,3728060,1564550,532708,1781938,0,3023212,4268165,7566394
GRANDFALLS-ROYALTY ISD,238904,238904,465074,556157,618051,862525,570656,542426,0,424984,296242,607493,641125,652569,811075,513991,124302,176254,86017,346317,305906,237205
BRENHAM ISD,239901,239901,2631764,6531821,5437191,2434857,2375769,1814174,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BURTON ISD,239903,239903,349557,753869,341195,676414,532018,589041,157203,0,22686,82737,1380996,1023947,1186326,1125601,828912,1026861,901175,764046,791667,507311
WEBB CISD,240904,240904,898215,4439278,3583934,3928849,3468408,4102950,4059855,2817760,2908365,4453899,12812436,8910352,9367402,7733145,7736827,7024496,4158450,3572047,3693794,2233389
WHARTON ISD,241904,241904,1107246,2285172,1453587,292028,473316,608683,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOUISE ISD,241906,241906,264156,759554,647289,258503,54610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2066
SHAMROCK ISD,242902,242902,185253,696255,303042,196705,373361,362519,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WHEELER ISD,242903,242903,227330,1049370,622438,480734,200504,359608,0,0,0,716205,0,0,0,0,0,0,0,0,435963,1053167
KELTON ISD,242905,242905,139685,529891,895401,1174769,1054046,1017172,664067,532371,589130,734696,1748309,2408184,3055091,3311646,3699475,3958440,4800928,6402827,6598569,6566700
FORT ELLIOTT CISD,242906,242906,288380,1057918,888433,987026,762812,683664,526116,105902,273267,463764,9807438,8681945,10617656,9983673,10036471,10832613,10921295,13955918,13468727,13081024
ELECTRA ISD,243902,243902,600954,1142181,725714,606161,264308,515748,0,15582,70520,509789,0,0,0,0,0,0,0,0,0,0
HARROLD ISD,244901,244901,76890,503358,370152,322400,214587,165060,0,133562,4245,373152,0,0,0,0,0,0,0,0,0,0
NORTHSIDE ISD,244905,244905,87919,222532,174212,10296,0,0,0,0,0,369624,0,0,0,0,0,0,0,0,0,0
LYFORD CISD,245902,245902,263806,1578943,985812,0,0,0,0,0,3692539,0,0,0,0,0,0,0,0,0,29948,0
GEORGETOWN ISD,246904,246904,5957740,14143388,15739141,12126549,11818131,10678847,5242604,1932482,0,0,0,0,746217,0,0,0,306149,317861,357416,451768
JARRELL ISD,246907,246907,604802,2118361,2063237,2153501,2291266,2185088,1331107,1254992,763682,529556,424077,72628,750381,128172,0,0,0,0,0,0
LIBERTY HILL ISD,246908,246908,818236,2203846,2031357,565255,1477337,1289965,46604,0,0,0,0,0,0,0,0,0,0,0,0,0
ROUND ROCK ISD,246909,246909,18993787,62974195,67496393,45607935,55767845,42524169,17769841,4240044,0,0,0,0,10717120,0,0,0,0,0,0,0
LEANDER ISD,246913,246913,18243771,38005887,47561291,34501655,41812238,34983118,17228722,6598226,0,0,0,0,122678,235682,182404,191286,108180,95873,247242,0
COUPLAND ISD,246914,246914,51793,198310,238695,77477,74732,110163,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POTH ISD,247904,247904,288065,938936,926168,0,0,0,0,0,0,511022,0,0,0,0,0,0,0,0,0,0
KERMIT ISD,248901,248901,1325388,3615945,281281,1841251,2225335,3697527,657299,1585363,0,2977352,0,0,0,1443641,1505717,1047609,182126,177174,14333,154502
WINK-LOVING ISD,248902,248902,631767,3325326,2560871,3426200,2498462,3297129,2163094,2085446,0,2053007,8567143,8142198,11307831,9575630,9243356,8841414,8099200,8438075,10703362,11431880
ALVORD ISD,249901,249901,487645,991006,825816,328996,103689,315537,0,0,0,0,0,0,0,0,0,0,0,0,165485,102102
BOYD ISD,249902,249902,918496,3195485,2078158,1297641,1409484,2331783,1263856,1456775,251479,1945588,0,356994,659434,64326,452149,1203554,683814,348828,117905,515753
BRIDGEPORT ISD,249903,249903,2076831,5107895,5027000,2728798,3076579,2278485,1416952,909742,33839,1214702,0,99872,846777,186996,187689,219253,254244,280504,325892,331782
CHICO ISD,249904,249904,849148,1402571,1666261,1195179,978570,1082970,269749,746863,408220,604965,0,167775,1154947,764676,1007902,1421892,1230462,1215786,1088808,1049319
DECATUR ISD,249905,249905,3433070,8450000,7108682,3862058,4444688,6146848,2242989,3876876,3061435,3279331,2390520,3505306,4776577,2510492,3902541,5525522,4448689,4033086,3348499,2538664
SLIDELL ISD,249908,249908,413768,646732,747385,546797,589445,591447,20087,0,236641,272263,0,0,158424,178843,54916,304348,449316,805872,1511893,1444902
HAWKINS ISD,250902,250902,624193,1844649,1341130,2251725,1257823,900941,73748,122504,512064,1410973,1185862,1480297,2084533,1781058,884951,1336218,1902408,2737556,3536597,2980693
YANTIS ISD,250905,250905,464618,902155,1004223,702321,611779,664273,232764,279413,230967,216198,0,0,138178,28498,34906,65473,21661,62776,119399,25283
DENVER CITY ISD,251901,251901,1382070,5731095,3308958,6082041,3095499,4232572,1989880,4274844,2618707,6757335,20135749,16829301,21416843,17701956,18281328,19309701,20940873,18890374,17603412,12104276
PLAINS ISD,251902,251902,649368,2005223,954537,2185577,730066,1200674,135766,1211368,690289,2127007,5090301,4449782,5733771,4622828,4318045,5554514,7173770,6669964,6387255,4040488
OLNEY ISD,252903,252903,301882,1075785,899981,58810,0,0,0,2147481,0,0,0,0,0,0,0,0,0,77690,0,0
ZAPATA COUNTY ISD,253901,253901,2783398,13593923,11393273,12492816,12270419,14227832,10906990,10667519,5064671,8807358,18505561,16308193,16511908,11117384,7913714,5141010,0,0,0,0
